name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Lessing & Sears Mini Park - DG Pathway Drinking Fountain,6738762138381020,drinking_water,1,0,0,0,37.70863362,-122.45545233,Sickles & Sears,San Francisco,CA,94112,Lessing & Sears Mini Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455452331 37.708633617),11,Outer Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,66,9,1,28,35
John McLaren Park - Oxford Restroom Drinking Fountain,1721225990220766525,drinking_water,1,0,0,1,37.72215533,-122.42057408,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420574081 37.722155328),9,McLaren Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,73,9,2,19,7
Alamo Square Restrooms,5648809740031184133,restroom,0,0,0,0,37.776086074284265,-122.43432885373971,Hayes & Steiner,San Francisco,CA,94117,Alamo Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434328854 37.776086074),5,Hayes Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,23,4,11,9,67
Hamilton Rec Center,8369580577400438332,restroom,0,0,0,0,37.78453259991993,-122.43517781568733,1900 Geary Blvd,San Francisco,CA,94115,Hamilton Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.435177816 37.7845326),5,Japantown,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,103,4,11,15,173
Christopher Clubhouse,2811668174124739375,restroom,0,0,0,0,37.74402066780482,-122.44026813017675,5210 Diamond Heights Boulevard,San Francisco,CA,94131,George Christopher Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.44026813 37.744020668),8,Glen Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,57,9,5,10,168
Golden Gate Park Stow Lake Restrooms,452880654814813649,restroom,0,0,0,0,37.77098213320805,-122.47687712991078,,San Francisco,CA,94122,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.47687713 37.770982133),7,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,232
Mclaren Park Mansell Clubhouse,5091504287788298317,restroom,0,0,0,0,37.71914952357931,-122.41269623182149,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.412696232 37.719149524),9,McLaren Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,73,9,2,19,7
Parque Ninos Unidos - Concrete Pathway Drinking Fountains,6813596201092490531,drinking_water,1,0,0,0,37.75439025,-122.41381918,23rd Street & Treat,San Francisco,CA,94110,Parque Ninos Unidos,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.413819177 37.754390249),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,129
Union Square - Concrete Hardscaped Area Drinking Fountain,3868434551555944269,drinking_water,1,0,0,0,37.78787923,-122.40697736,Post & Stockton,San Francisco,CA,94108,Union Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406977363 37.787879233),3,Financial District/South Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,19,6,3,8,5
West Portal Playground - Hardscape Drinking Fountain,2004134229582017956,drinking_water,1,0,0,0,37.74173871,-122.46518014,Ulloa & Lenox Streets,San Francisco,CA,94127,West Portal Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.46518014 37.741738709),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,46,10,8,41,223
