name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Pier 39,3249569504867891889,restroom,0,0,0,0,37.7946633,-122.3914568,2 Pier 39,San Francisco,CA,94133,,publicly_accessible,07:00:00,22:00:00,Daily,Pier 39 public restroom,port,POINT (-122.3914568 37.7946633),,,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,,,,,
Potrero Hill Rec Center - Pathway DG Drinking Fountain,4399989278286244314,drinking_water,1,0,0,0,37.75609616,-122.39683774,801 Arkansas Street,San Francisco,CA,94107,Potrero Hill Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.396837744 37.756096155),10,Potrero Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,54,2,9,26,64
Ocean Beach Pit Stop - Great Highway near Beach Chalet,8978516872808671611,restroom,0,0,0,0,37.767597,-122.51078,Great Highway near Beach Chalet,San Francisco,CA,,Lower Great Highway,publicly_accessible,,,,,pit_stop,POINT (-122.51078 37.767597),4,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,20
Golden Gate Park Tennis & Pro Shop,8197108090095025584,restroom,0,0,0,0,37.77005238103576,-122.45956332478198,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.459563325 37.770052381),7,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,228
Golden Gate Park Chalet Soccer Fields Restrooms,7568799149189004874,restroom,0,0,0,0,37.76726784014583,-122.50798559164443,John F. Kennedy Dr,San Francisco,CA,94122,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.507985592 37.76726784),4,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,234
Silver Terrace Clubhouse,502295565233411923,restroom,0,0,0,0,37.73251708717023,-122.40239900720432,Thornton & Bayshore,San Francisco,CA,94124,Silver Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.402399007 37.732517087),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,87,2,9,1,111
Friend Rec Center,778841274529508642,restroom,0,0,0,0,37.77878684553274,-122.40633918368682,270 6th St,San Francisco,CA,94103,Eugene Friend Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406339184 37.778786846),6,South of Market,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,32,1,10,34,166
Sandy Tatum Clubhouse,930715351180699620,restroom,0,0,0,0,37.72466408780731,-122.49365476428636,Lake Merced Blvd,San Francisco,CA,94132,Lake Merced Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.493654764 37.724664088),7,Lakeshore,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,43,10,8,16,2
Precita Park - Concrete Pathway Drinking Fountain,3359782773159488755,drinking_water,1,0,0,0,37.7468604,-122.41325643,3200 Folsom Street,San Francisco,CA,94110,Precita Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.413256435 37.746860402),9,Bernal Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,83,9,2,2,6
Corona Heights Park - Non-Landscaped Greenspace Dog Drinking Fountain,8807700169114814830,drinking_water,1,0,0,1,37.76530917,-122.44029272,Roosevelt & Museum Way,San Francisco,CA,94114,Corona Heights Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440292721 37.765309173),8,Castro/Upper Market,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,113,7,5,5,202
Mendell Plaza,1583894823483341905,drinking_water,0,1,1,0,37.734648,-122.390524,1425 Mendell St,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.390524 37.734648),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,
Peixotto Clubhouse,3794976240319233035,restroom,0,0,0,0,37.76561026667449,-122.43757489790103,15th St & Roosevelt,San Francisco,CA,94114,Peixotto Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.437574898 37.765610267),8,Castro/Upper Market,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,113,7,5,5,128
Michelangelo Playground - Asphalt Pathway Drinking Fountain,1514631602998796104,drinking_water,1,0,0,0,37.80117848,-122.41699364,Greenwich & Jones,San Francisco,CA,94133,Michelangelo Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416993642 37.801178476),3,Russian Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,107,6,6,32,137
Grattan Playground - Multi-Use Paved Play Area Drinking Fountains,6206894350091592438,drinking_water,1,0,0,0,37.76261998,-122.4517025,1180 Stanyan St,San Francisco,CA,94117,Grattan Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.451702495 37.762619979),8,Haight Ashbury,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,114,7,11,3,172
SoMa Pit Stop - 6th and Natoma streets,6442859660123884493,restroom,0,0,0,0,37.78018,-122.40771,6th and Natoma streets,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.40771 37.78018),6,South of Market,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,32,1,10,34,
Mid-Market Pit Stop - U.N. Plaza (JCDecaux) Mid Market Pit Stop Daily,8685031922893760649,restroom,0,0,0,0,37.780144,-122.413086,U.N. Plaza (JCDecaux)   Mid Market Pit Stop Daily,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.413086 37.780144),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,21,5,10,36,
McCoppin Square - Drinking Fountain 1,4135275012305788283,drinking_water,1,0,0,0,37.74336385,-122.48072332,24th Avenue & Taraval,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480723319 37.74336385),4,Sunset/Parkside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,40,10,7,35,139
Merced Branch Library,7302849541184780251,drinking_water,1,0,0,0,37.72659366900007,-122.47449376899999,155 Winston Dr,San Francisco,CA,94132,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:12:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:53""]",library,POINT (-122.474493769 37.726593669),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,41,10,8,41,44
Balboa Park West Bathrooms,1769901743412994542,restroom,0,0,0,0,37.72515055872017,-122.44552972560477,Ocean & San Jose,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.445529726 37.725150559),11,Outer Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,94,9,1,28,76
Herz Clubhouse,3974745258872349567,restroom,0,0,0,0,37.71394331637353,-122.416377893482,1700 Visitacion & Hahn Sts,San Francisco,CA,94134,Herz Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416377893 37.713943316),10,McLaren Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,73,9,9,19,15
James Rolph Jr Clubhouse,8648877855879303740,restroom,0,0,0,0,37.75003212260691,-122.40660090421842,Potrero & Cesar Chavez St,San Francisco,CA,94110,James Rolph Jr. Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406600904 37.750032123),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,226
McLaren Park Oxford St Restroom,5813049252582342808,restroom,0,0,0,0,37.72295232112115,-122.41856158704024,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.418561587 37.722952321),11,McLaren Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,73,9,2,19,7
Golden Gate Park - Section 6 - Lincoln Way Children's Play Area Drinking Fountain,9185695724137329096,drinking_water,1,1,0,0,37.76453532,-122.50499565,Lincoln Way/45th Ave,San Francisco,CA,94122,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.504995646 37.764535322),4,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,234
Golden Gate Park - Section 5 - Bottle Filling Station,4941410688179647636,drinking_water,1,1,0,0,37.77133057,-122.49904043,Golden Gate Park,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.499040431 37.771330568),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,233
Boeddeker Park Clubhouse,2534395336960747975,restroom,0,0,0,0,37.784313315464146,-122.41181377486572,295 Eddy St,San Francisco,CA,94102,Father Alfred E. Boeddeker Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411813775 37.784313315),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,20,5,10,36,162
Golden Gate Park Horseshoe Pits Bathroom,1345444901404498198,restroom,0,0,0,0,37.77375259279182,-122.45599541704655,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455995417 37.773752593),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,4,12,229
Marina Green Bathrooms West,7071238898309551670,restroom,0,0,0,0,37.805673715617154,-122.44826247437689,Marina Blvd,San Francisco,CA,94123,Yacht Harbor and Marina Green,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448262474 37.805673716),2,Marina,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,17,4,6,13,90
Excelsior Branch Library,1134166097749066913,drinking_water,1,0,0,0,37.72713052100005,-122.43331540999998,4400 Mission St,San Francisco,CA,94112,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:13:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.43331541 37.727130521),11,Outer Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,94,9,1,28,
Noe Valley Courts Bathrooms,3699844018080909753,restroom,0,0,0,0,37.7514890509997,-122.43921687681694,24th & Douglass St,San Francisco,CA,94114,Noe Valley Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.439216877 37.751489051),8,Noe Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,51,3,5,22,132
Betty Ann Ong Chinese Rec Center - Drinking Fountain/Hi-Low,891376843506715621,drinking_water,1,0,0,0,37.79437392,-122.41185105,1101 Washington Street,San Francisco,CA,94108,Betty Ann Ong Chinese Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.41185105 37.794373922),3,Nob Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,16,6,3,21,155
Western Addition Branch Library,7958442617977442450,drinking_water,1,0,0,0,37.784118524000064,-122.43748930299995,1550 Scott St,San Francisco,CA,94115,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:13:00-20:00"",""Thursday:10:00-19:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:49""]",library,POINT (-122.437489303 37.784118524),5,Japantown,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,103,4,11,15,36
Argonne: Clubhouse,1515965608021042744,restroom,0,0,0,0,37.77960155039642,-122.47777275709291,18th Ave  &  Geary Blvd,San Francisco,CA,94121,Argonne Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.477772757 37.77960155),1,Outer Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,5,8,4,29,71
North Beach Branch Library,7646533082011852694,drinking_water,1,0,0,0,37.80253081500007,-122.41313485899997,850 Columbus Ave,San Francisco,CA,94133,Joe DiMaggio Playground,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:13:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.413134859 37.802530815),3,North Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,106,6,3,23,195
St Mary's PG Restrooms,2028357288166134714,restroom,0,0,0,0,37.73408562945021,-122.42143249299542,Murray & Justin Drive,San Francisco,CA,94110,St. Mary's Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.421432493 37.734085629),9,Bernal Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,93,9,2,2,109
Golden Gate Park Chain of Lakes Bathroom,3540930831530257584,restroom,0,0,0,0,37.767975489778514,-122.50181865775265,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.501818658 37.76797549),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,234
Douglass Restrooms,6739609299111966026,restroom,0,0,0,0,37.74628322060169,-122.43968176972001,26th & Douglass Street,San Francisco,CA,94131,Douglass Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43968177 37.746283221),8,Noe Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,57,3,5,22,206
Washington & Hyde Mini Park - Children's Play Area Drinking Fountain,6080330078335809374,drinking_water,1,0,0,0,37.79403244,-122.41743068,Washington & Hyde St,San Francisco,CA,94109,Washington & Hyde Mini Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.417430683 37.79403244),3,Russian Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,16,6,3,32,95
Golden Gate Park - Section 5 - Model Yacht Drinking Fountain,3735074536311960993,drinking_water,1,0,0,0,37.77023241,-122.49551831,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.495518309 37.770232413),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,233
Sunnyside Conservatory,3755932850212164196,restroom,0,0,0,0,37.73197548979175,-122.44079024361439,Monterey & Baden,San Francisco,CA,94131,Sunnyside Conservatory,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440790244 37.73197549),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,95,9,8,41,106
Oracle Park,4973141222634535716,restroom,1,0,0,0,37.7786944444444,-122.387638888888,"Giants Promenade, 24 Willie Mays Plaza",San Francisco,CA,94107,,publicly_accessible,,,Game Days,Outside Seal Plaza,port,POINT (-122.387638889 37.778694444),6,Mission Bay,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,31,1,10,4,
Midtown Terrace Clubhouse,2914129059992107756,restroom,0,0,0,0,37.751672658523525,-122.4558819020704,Clarendon & Olympia Way,San Francisco,CA,94131,Midtown Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455881902 37.751672659),7,Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,48,7,8,38,61
Glide,8783631804925644663,drinking_water,0,1,1,0,37.78512,-122.411443,302 Ellis St,San Francisco,CA,94102,,publicly_accessible,,,Daily,,puc,POINT (-122.411443 37.78512),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,20,5,10,36,
Merced Heights Clubhouse,9220700351671859647,restroom,0,0,0,0,37.71773927466967,-122.47015597694786,Byxbee & Shields St,San Francisco,CA,94132,Merced Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.470155977 37.717739275),11,Oceanview/Merced/Ingleside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,65,10,1,24,138
Sunset Rec Center - Round Table and Seat 5,8551743488477761681,drinking_water,1,0,0,0,37.75684011,-122.48690401,2201 Lawton Street,San Francisco,CA,94122,Sunset Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.486904009 37.756840107),4,Sunset/Parkside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,39,10,7,35,105
Michelangelo Gardeners Shed,4426667895717323973,restroom,0,0,0,0,37.80129138311905,-122.41678430816658,Greenwich & Jones,San Francisco,CA,94133,Michelangelo Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416784308 37.801291383),3,Russian Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,107,6,6,32,137
Presidio Heights Clubhouse,4289748452748884379,restroom,0,0,0,0,37.78848315227186,-122.44983022080389,Clay & Walnut St,San Francisco,CA,94118,Presidio Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449830221 37.788483152),2,Presidio Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,10,8,6,31,125
Arriba Juntos,6602640275624901656,drinking_water,0,1,1,0,37.76735,-122.420036,1850 Mission St,San Francisco,CA,94103,,publicly_accessible,,,Daily,,puc,POINT (-122.420036 37.76735),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,
Community Youth Center,3575271813702956970,drinking_water,0,1,0,0,37.78702,-122.419028,1038 Post St,San Francisco,CA,94109,,publicly_accessible,,,Daily,,puc,POINT (-122.419028 37.78702),3,Nob Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,50,4,3,21,
Midtown Terrace Playground - Asphalt Pathway Drinking Fountain,2937908265049260091,drinking_water,1,0,0,0,37.75167229,-122.45583378,Clarendon & Olympia Way,San Francisco,CA,94131,Midtown Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455833783 37.751672288),7,Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,48,7,8,38,61
Rochambeau Clubhouse,3542277325770407957,restroom,0,0,0,0,37.78501370766653,-122.48454452919034,24th Ave & Lake,San Francisco,CA,94121,Rochambeau Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.484544529 37.785013708),1,Outer Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,2,8,4,29,25
Lower Polk - Myrtle and Larkin streets (JCDecaux),7671891056194831451,restroom,0,0,0,0,37.785572,-122.41809,Myrtle and Larkin streets (JCDecaux),San Francisco,CA,,Sgt. John Macaulay Park,publicly_accessible,,,,,pit_stop,POINT (-122.41809 37.785572),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,20,5,10,36,113
Noe Valley Courts - Perennial Bed Drinking Fountains,8967236345407971551,drinking_water,1,0,0,0,37.75145673,-122.43894594,24th Street & Douglass,San Francisco,CA,94114,Noe Valley Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438945938 37.751456733),8,Noe Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,51,3,5,22,132
Youngblood Colman Park,8953154863104910777,drinking_water,0,1,1,0,37.739575,-122.385795,615 Mendell St,San Francisco,CA,94124,Youngblood-Coleman Playground,publicly_accessible,,,Daily,,puc,POINT (-122.385795 37.739575),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,
Yacht Harbor and Marina Green - Bench,3276676726064143324,restroom,0,0,0,0,37.80664933,-122.44254125,3950 Scott St,San Francisco,CA,94123,Yacht Harbor and Marina Green,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.442554463 37.806654329),,Marina,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,17,4,6,13,90
Mission Branch Library,1848497342151395742,drinking_water,1,0,0,0,37.75196896600005,-122.41982646399998,300 Bartlett St,San Francisco,CA,94110,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:55""]",library,POINT (-122.419826464 37.751968966),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,
Earl's Organic,8380650283006083838,drinking_water,0,1,1,0,37.744233,-122.398524,2102 Jerrold Ave,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.398524 37.744233),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,85,2,9,1,
Margaret S.Hayward Playground - Concrete Pathway Drinking Fountain,5592613152927273918,drinking_water,1,0,0,0,37.78069454,-122.42684637,1016 Laguna Street,San Francisco,CA,94102,Margaret S.Hayward Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.426846374 37.78069454),5,Western Addition,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,100,4,11,39,140
Golden Gate Park Nursery Restrooms,5275881295470425080,restroom,0,0,0,0,37.76823046594387,-122.4621457200972,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.46214572 37.768230466),7,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,11,12,228
Golden Gate Park - Section 6 - Bottle Filling Station 1,7604737679219360848,drinking_water,1,1,0,0,37.76718375,-122.5079935,John F. Kennedy Dr,San Francisco,CA,94122,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.507993499 37.767183752),4,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,234
Richmond Playground - Hardscape Drinking Fountain,659924745455998177,drinking_water,1,0,0,0,37.78521182,-122.47790053,18th Avenue & Lake,San Francisco,CA,94121,Richmond Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.477900525 37.785211819),1,Outer Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,2,8,4,29,122
Ocean View Branch Library,1426602887386233589,drinking_water,1,0,0,0,37.71413776700007,-122.46597082599999,345 Randolph St,San Francisco,CA,94132,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:12:00-20:00"",""Thursday:10:00-19:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.465970826 37.714137767),11,Oceanview/Merced/Ingleside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,65,10,1,24,
Guy Place Mini Park - Drinking Fountain - Dog Bowl Only,6997067125765041237,drinking_water,1,0,0,0,37.78659459,-122.39431447,4 - 8 Guy Place,San Francisco,CA,94105,Guy Place Mini Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.394314467 37.786594589),6,Financial District/South Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,30,1,10,8,192
McCoppin Square Restrooms,468960480913195708,restroom,0,0,0,0,37.74353236064892,-122.480921289797,24th & Taraval,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.48092129 37.743532361),4,Sunset/Parkside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,40,10,7,35,139
Pier 70,2941591578252748830,restroom,0,0,0,0,37.7604953,-122.3842845,525 20th St,San Francisco,CA,94107,,limited_access,09:00:00,17:00:00,Daily,Inside building,port,POINT (-122.3842845 37.7604953),10,Potrero Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,56,2,9,26,
Balboa Park East Bathrooms,4455528960831917212,restroom,0,0,0,0,37.72518013106688,-122.44422317546537,Ocean & San Jose,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.444223175 37.725180131),11,Outer Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,94,9,1,28,76
Holly Park - Hardscaped Path Drinking Fountain,4391903695017534096,drinking_water,1,0,0,0,37.73711521,-122.42056083,Holly Park Circle,San Francisco,CA,94110,Holly Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420560827 37.737115206),9,Bernal Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,61,9,2,2,47
Betty Ann Ong Chinese Rec Center - Drinking Fountain/Hi-Low,3741641609098064234,drinking_water,1,0,0,0,37.7942908,-122.41169429,1199 Mason St,San Francisco,CA,94108,Betty Ann Ong Chinese Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411694294 37.794290801),3,Nob Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,16,6,3,21,155
Golden Gate Park - Section 1 - Stanyan Edge Courtyard Drinking Fountain,8481660539152296963,drinking_water,1,0,0,0,37.76998542,-122.45421167,Golden Gate Park,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.454211669 37.76998542),5,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,229
Rossi Community Pool,5414478794514252376,restroom,0,0,0,0,37.77906477636416,-122.45837522576468,Arguello & Anza,San Francisco,CA,94118,Angelo J. Rossi Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458375226 37.779064776),1,Lone Mountain/USF,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,12,8,4,18,204
Corona Heights Park - Non-Landscaped Greenspace Drinking Fountain,4701496554757293612,drinking_water,1,0,0,0,37.76530769,-122.44027742,Roosevelt & Museum Way,San Francisco,CA,94114,Corona Heights Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.44027742 37.765307693),8,Castro/Upper Market,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,113,7,5,5,202
McKinley Square - Concrete Pathway Drinking Fountain,6112911176607512576,drinking_water,1,0,0,0,37.75910872,-122.40447578,20th Street & Vermont,San Francisco,CA,94107,McKinley Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.404475785 37.759108722),10,Potrero Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,54,2,9,26,60
Mission Creek Maintenance Bldg,4876547624839491143,restroom,0,0,0,0,37.771354930147126,-122.39873334868626,Berry St,San Francisco,CA,,Mission Creek Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.398733349 37.77135493),6,Mission Bay,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,34,1,10,4,
